Campak;Campak adalah infeksi virus yang ditandai dengan munculnya ruam di seluruh tubuh dan sangat menular. Penyakit ini disebabkan oleh virus dalam keluarga paramyxovirus yang biasanya ditularkan melalui kontak langsung dengan penderita atau lewat udara. Virus menginfeksi saluran pernapasan dan kemudian menyebar ke seluruh tubuh.;Campak disebabkan oleh virus jenis paramyxovirus yang menular melalui saluran pernapasan. Campak juga dapat menular apabila seseorang menghirup atau mengalami kontak langsung dengan cairan yang terinfeksi virus.;Istirahat yang cukup, menghindari cahaya, meningkatkan asupan cairan dan nutrisi, mengkonsumsi makanan yang mengandung vitamin A. Melakukan pemeriksaan ke dokter untuk mendapatkan pengobatan yang lebih baik dan sesuai dengan keluhan yag dirasakan.;Melakukan imunisasi vaksin khusus campak atau vaksin MMR;Komplikasi yang dapat terjadi adalah otitis media dan pneumonia
Infeksi Saluran Napas Akut;Infeksi saluran pernapasan akut atau sering disebut sebagai ISPA adalah infeksi yang mengganggu proses pernafasan seseorang. Infeksi ini umumnya disebabkan oleh virus yang menyerang hidung, trakea (pipa pernafasan), atau bahkan paru-paru. ISPA biasanya sering di derita oleh anak - anak.;Infeksi Saluran Napas Akut disebabkan oleh bakteri dan virus. Virus tersebut meliputi rinovirus, influenza virus, parainfluenza, adenovirus, coxsackievirus, RSV, coronavirus. Sedangkan bakteri tersering adalah streptococcus.;Pertolongan pertama yang bisa diberikan adalah beristirahat dengan posisi kepala lebih tinggi, mengkonsumsi banyak cairan. Jika gejala tidak kunjung sembuh dan semakin parah, segera periksakan ke dokter untuk pengobatan lebih lanjut;Mencuci tangan secara teratur terutama setelah beraktivitas di tempat umum, Menggunakan masker di tempat umum untuk menghindari penularan, Hindari merokok, Perbanyak konsumsi makanan kaya serat dan vitamin, Berolahraga secara teratur;
Sindrom  Terowongan Karpal;Sindrom Terowongan Karpal adalah kondisi yang menyebabkan jari tangan mengalami sensasi kesemutan, mati rasa, atau nyeri. Bagian yang paling sering terpengaruh adalah jempol, jari tengah, dan telunjuk. ;Keturunan, kehamilan, cedera pergelangan tangan, Berulang kali menekuk pergelangan tangan ke bawah, Membuat gerakan yang sama dengan pergelangan tangan berulang, Gerakan tangan yang dipaksakan, Bekerja selama berjam-jam dalam posisi yang sama;Mengistirahatkan pergelangan tangan maupun jari dari pekerjaan untuk beberapa minggu, mengkonsumsi obat pereda nyeri seperti ibuprofen sesuai resep dokter. Lakukan pemeriksaan ke dokter jika tidak kunjung sembuh dan semakin parah.;Hindari membengkokan pergelangan tangan secara berulang-ulang, mengistirahatkan pergelangan tangan lebih sering, lakukan olahraga kecil dengan menggerakkan pergelangan tangan;
Varisela/cacar air;penyakit infeksi virus yang disebabkan oleh virus Varicella Zoster mengakibatkan munculnya ruam kulit berupa kumpulan bintik-bintik kecil baik berbentuk datar maupun menonjol, melepuh serta berkeropeng dan rasa gatal. Penyakit cacar air merupakan penyakit menular yang bisa ditularkan melalui udara dan kontak langsung dengan penderita. ;Infeksi akut primer oleh virus varicella-zoster dapat menyebar melalui udara atau kontak langsung dengan penderita;Penyakit cacar air dapat sembuh sendiri tanpa pemberian pengobatan apapun. Pemberian bedak digunakan untuk menghilangkan rasa gatal dan mencegah bisul pecah. Pemberian obat biasanya disesuaikan dengan gejala. Misalnya jika penderita mengalami demam berikan paracetamol sebagai obat penurun demam. Periksakan ke dokter jika tidak kunjung sembuh untuk mendapatkan pemeriksaan lebih lanjut;Pencegahan penyakit cacar air dilakukan dengan memberikan vaksin varisela pada anak-anak bayi yang berumur antara 12 sampai 18 bulan. Pada orang dewasa yang belum pernah mengalami cacar serta mempunyai gangguan pada sistem kekebalan tubuh bisa minta diberikan immunoglobulin zoster atau immunoglobulin varicella zoster dari dokter karena dikhawatirkan akan terjadi hal buruk ketika terserang penyakit cacar air akibat komplikasi yang bisa mengakibatkan kematian. Apabila di sekitar kita ada orang yang menderita penyakit cacar air sebaiknya segera menjauh agar tidak tertular dan membersihkan segala benda yang mungkin terkontaminiasi virus cacar air. ;Komplikasi lebih banyak ditemukan pada orang dewasa yaitu Pnemounia yang diakibatkan virus lain, Ensefalitis atau infeksi pada otak, Glomerulonefritis atau Peradangan pada jantung, Karditis atau Peradangan pada sendi, Hepatitis atau Peradangan pada hati
Konjungtivitis/mata merah;Konjungtivitis atau mata merah adalah peradangan yang terjadi pada konjungtiva atau selaput bening yang melapisi bagian depan mata. Pada saat terjadi peradangan pada pembuluh darah kecil di konjungtiva, bagian mata yang seharusnya berwarna putih akan terlihat merah atau merah muda. Peradangan yang terjadi umumnya disebabkan oleh infeksi baik karena bakteri maupun virus. Namun, reaksi alergi juga dapat memicu terjadinya mata merah. ;Penyebab konjungtiva adalah virus, bakteri, alergi, zat kimia, benda asing, parasit.;Obat tetes mata antibiotik bisa digunakan untuk mengatasi infeksi bakteri. Bersihkan kelopak dan bulu mata dengan menggunakan kapas dan air dari lapisan yang lengket. Sebelum gejala konjungtivitis hilang, jangan memakai lensa kontak terlebih dulu. Jika gejala tidak kunjung sembuh, segera konsultasi ke dokter;Menjaga kebersihan mata dengan menghindari kebiasaan menggosok mata, menghindari benda - benda yang memicu alergi;
Keratitis Akut;Kreatitis adalah peradangan yang terjadi pada kornea.;Keratitis dapat disebabkan oleh infeksi virus, bakteri, jamur, ataupun parasit. Namun, penyebab keratitis tersering adalah akibat cedera dari kornea. Cedera kornea ini bisa karena pemakaian lensa kontak, goresan benda asing pada kornea, atau kontaminasi zat kimia, misalnya di kolam renang. Pemakaian lensa kontak adalah faktor utama yang dapat meningkatkan risiko terjadinya keratitis. Hal ini disebabkan antara lain karena lensa kontak yang kurang bersih, pemakaian yang terlalu lama, atau akibat cairan pembersih lensa yang terkontaminasi. Selain itu, kekurangan vitamin A, mata kering, paparan sinar matahari yang intens, dan penyakit autoimun juga dapat mengakibatkan keratitis.;Hentikan penggunaan lensa kontak, gunakan pelindung mata seperti kacamata agar terlindung dari debu dan sinar matahari. Berikan obat tetes mata sebagai penanganan pertama. Sebaiknya hubungi dokter untuk mendapatkan penanganan lebih lanjut ;Melepas lensa kontak sebelum tidur atau berenang, merawat lensa kontak secara teratur, mengganti lensa kontak sesuai batasnya, hindari penggunaan obat tetes mata yang berisi kortikosteroid, mencuci tangan sebelum menyentuh mata;Komplikasi yang paling ditakuti dari keratitis adalah penebalan lapisan kornea, luka, serta robekan pada kornea yang dapat mengakibatkan peradangan seluruh bola mata (endoftalmitis) dan berisiko kehilangan bola mata. Luka pada kornea (ulkus kornea) berpotensi mengakibatkan turunnya ketajaman penglihatan, baik sementara maupun permanen, bahkan juga dapat mengakibatkan kebutaan.
Keputihan Abnormal;Pada kehamilan dapat terjadi infeksi berbagai mikroorganismeyang menyebabkan keputihan. Keputihan yang palingsering dalam kehamilan adalah vaginosis bakterialis, trikomoniasis, dan kandidosis vulvovaginalis. Kondisi tersebut dapat menyebabkan komplikasi pada kehamilan seperti kehamilan premature, pecahnya ketuban sebelum waktu kelahiran, keguguran, adanya infeksi bakteri dan infeksi cairan ketuban;Infeksi, virus, bakteri, jamur, dan parasit, perubahan hormon di masa kehamilan, Perubahan hormon saat sebelum atau sesudah menstruasi, Produksi asam lambung berlebih akibat pola makan tidak teratur, Pemakaian produk pembersih vagina yang tidak cocok, Pakaian dalam yang terlalu ketat dan berbahan sintesis, Efek samping dari obat-obatan tertentu yang sedang dikonsumsi, Kurang istirahat, Stres;mengganti celana dalam Anda lebih sering, menjaga agar daerah vagina Anda selalu bersih dan kering, membersihkan daerah vagina Anda dengan rutin;Menjaga kondisi di sekitarorgan intim tetap kering, Hindari menggunakan celana dalam yang ketat, mengkonsumsi vitamin, menggunakan sabun cair pembersih vagina;
Diare;Diare merupakan kondisi yang ditandai dengan encernya tinja yang dikeluarkan dengan frekuensi buang air besar (BAB) yang lebih sering dibandingkan dengan biasanya. Pada umumnya, diare terjadi akibat konsumsi makanan atau minuman yang terkontaminasi bakteri, virus, atau parasit. ;Penyebab diare adalah tidak mampu mencerna makanan yang mengandung laktosa, alergi makanan, efek samping dari obat-obatan tertentu, infeksi bakteri, virus, atau parasit, penyakit usus.;Mengkonsumsi lebih banyak cairan seperti air atau minuman elektrolit. Sebaiknya menghubungi dokter jika diare tidak kunjung sembuh untuk mendapatkan penanganan lebih lanjut;Mencuci tangan sebelum makan, Menjauhi makanan yang kebersihannya diragukan, membuang makanan dan minuman yang sudah kedaluarsa, Menjaga kebersihan dapur dan kamar mandi, Memisahkan makanan yang mentah dari yang matang, Makan makanan yang dimasak dari bahan-bahan yang segar, Menyimpan makanan di kulkas dan tidak membiarkan makanan tertinggal di bawah paparan sinar matahari atau suhu ruangan.;
Dispesia/Maag;Dispepsia atau maag adalah perasaan tidak nyaman atau nyeri pada saluran pencernaan bagian atas (perut, kerongkongan, atau usus dua belas jari).;;Pengobatan dispesia dapat dilakukan dengan mengkonsumsi obat - obatan yang mengandung antasida dan melakukan perubahan pola makan dan hidup sehat. Jika keluhan tidak kunjung sembuh dan terasa semakin kuat segera periksakan ke dokter untuk mendapatkan pemeriksaan secara mendalam.;Makan secara teratur, menghindari makanan lemak dan pedas, berolahraga secara teratur, mengelola stres, menghindari kebiasaan segera berbaring setelah makan;
Irritable Bowel Syndrome;Irritable Bowel Syndrome adalah kumpulan gejala nyeri atau tidak nyaman di perut yang mempengaruhi kerja usus besar;Stres dan psikologis, perubahan hormon seperti selama siklus menstruasi, infeksi saluran pencernaan, keturunan;Pertolongan pertama yang bisa dilakukan adalah menghindari makanan yang memperburuk diare, menghindari makanan yang membuat kembung dan gas seperti kembang kol, wasabi, kangkung, brokoli, kacang hitam, edamame, kacang kedelai , dan kacang fava, menambahkan serat ke dalam makanan, minum banyak air, menghindari soda. Untuk mendapatkan pemeriksaan lebih lanjut dan obat yang sesuai silahkan hubungi dokter terdekat.;Pencegahan Irritable Bowel Syndrome Dapat dilakukan dengan tidak memilih makanan yang membuat perut terasa tidak nyaman, mengelola stres, jangan sembarangan membeli obat diare, berolahraga secara teratur;Diare dan sembelit kronis yang timbul akibat irritable bowel syndrome (IBS) dapat mengarah pada hemoroid atau penyakit wasir. Selain itu, IBS juga dikaitkan dengan gangguan mental seperti gangguan cemas dan depresi. Gangguan cemas dan depresi ini bahkan dapat menyebabkan IBS makin parah
Konstipasi/sembelit;Konstipasi atau sembelit adalah kondisi sulit buang air besar secara teratur akibat feses atau kotoran yang keras.;Penyebab konstipasi atau sembelit adalah kurang mengonsumsi makanan berserat, kurang minum air, tidak melakukan olahraga,mengabaikan keinginan untuk buang air besar, gangguan mental, efek samping obat tertentu;Memperbanyak konsumsi air putih dan makanan berserat, meningkatkan frekuensi olahraga, jangan mengabaikan keinginan buang air besar, hentikan obat - obatan yang dapat menyebabkan sembelit, dan penggunaan obat pencahar. Untuk penggunaan obat pencahar sebaiknya di konsultasikan lagi dengan dokter untuk mendapatkan penanganan yang tepat;Memperbanyak konsumsi serat, meningkattkan konsumsi air, olahraga secara teratur, mengatur kebiasaan buang air besar;Konstipasi atau sembelit dalam jangka panjang akan menyebabkan hemoroid atau wasir, fisura pada anus (robeknya kulit pada dinding anus), impaksi feses (menumpuknya tinja yang kering dan keras di rektum), prolaps rektum (rektum jatuh dari posisinya di dalam tubuh dan mencuat keluar dari anus)
Hipertensi;Hipertensi adalah nama lain dari tekanan darah tinggi adalah peningkatan tekanan darah lebih tinggi dari 140/90 mmHg;Penyebab hipertensi adalah gaya hidup dan pola makan yang buruk;Mengubah gaya hidup sehat, penurunan berat badan, penurunan asupan garam, berolahraga secara teratur, mengurangi konsumsi alkohol. Lakukan pemeriksaan ke dokter untuk mendapatkan pengobatan lebih lanjut;Menjaga berat badan ideal, Berolahraga secara rutin, konsumsi makanan yang rendah lemak dan kaya serat, kurangi garam, kurangi konsumsi alkohol, berhenti merokok, mengurangi konsumsi kafein;Hipertensi dapat menyebabkan stroke, gagal ginjal, gagal jantung, kehilangan penglihatan
Anemia;Anemia adalah suatu kondisi ketika tubuh kekurangan sel darah yang mengandung hemoglobin untuk menyebarkan oksigen ke seluruh organ tubuh;Penyebab anemia adalah pendarahan, kekurangan zat besi, kekurangan vitamin, tubuh tidak cukup memproduksi sel darah merah;Penanganan pertama yang bisa dilakukan adalah mengonsumsi makanan yang mengandung zat besi dan mengonsumsi vitamin. Untuk penanganan anemia lebih lanjut bisa di konsultasikan dengan dokter untuk mendapat penanganan lebih lanjut.;Pencegahan anemia bisa dilakukan dengan makan makanan yang kaya akan zat besi, asam folat, vitamin B12 dan vitamin C;Anemia bisa menyebabkan komplikasi seperti kelelahan berat, rentan terkena infeksi, gangguan jantung dan kematian
Hepatitis A;Hepatitis A merupakan penyakit yang disebabkan oleh virus hepatitis tipe A dan menyerang sel-sel hati manusia;Sanitasi yang buruk, kurangnya ketersediaan air bersih, mengonsumsi makanan mentah, kontak langsung dengan pengidap, memakai dan berbagi jarum suntik, bekerja di area yang berhubungan dengan kotoran.;Anda perlu melakukan pemeriksaan lebih lanjut ke dokter . ;Selalu mencuci tangan dengan sabun dan air bersih, jangan saling meminjamkan peralatan makan, jangan berbagi barang-barang pribadi seperti sikat gigi atau handuk, selalu memasak makanan sampai matang dan merebus air sampai mendidih, Hindari konsumsi makanan mentah yang berasal dari perairan yang terkontaminasi, misalnya tiram.;Hepatitis A dapat menyebabkan komplikasi gagal hati
Demam Berdarah Dengue;Demam berdarah dengue (DBD) adalah penyakit yang disebabkan oleh virus dengue yang dibawa oleh nyamuk. Demam berdarah DBD dulu disebut penyakit “break-bone” karena kadang menyebabkan nyeri sendi dan otot di mana tulang terasa retak.;Penyakit demam dengue disebabkan oleh virus dengue yang ditularkan kepada manusia melalui perantara nyamuk Aedes aegypti dan Aedes albopictus yang umumnya menggigit di pagi hari sampai sore hari menjelang petang. ;Pertolongan pertama yang bisa diberikan adalah banyak beristirahat, minum banyak cairan untuk mencegah dehidrasi, mengonsumsi paracetamol dan acetaminophen untuk meredakan demam dan nyeri, berhenti menjalani akticita untuk sementara waktu. Sebaiknya menghubungi dokter untuk mendapatkan perawatan lebih lanjut dan melakukan uji laboratorium;Mensterilkan ruangan rumah dengan pembasmi serangga, Membersihkan bak mandi dan menaburkan serbuk abate, Memasang kelambu di ranjang tidur, Memakai losion antinyamuk;Apabila DBD terlambat ditangani, maka bisa berkembang menjadi dengue shock syndrome yang mana tekanan darah menurun secara drastis dan pendarahan menjadi makin berat.
Demam Tifoid;Demam tifoid atau tifus adalah penyakit infeksi akut yang terjadi pada saluran pencernaan manusia (terutama usus halus) yang disebabkan oleh bakteri Salmonella typhi. Tifus dapat menular dengan cepat. Infeksi demam tifoid terjadi ketika seseorang mengonsumsi makanan atau minuman yang telah terkontaminasi sejumlah kecil tinja yang mengandung bakteri.;Penyebab tifus adalah Salmonella typhi masuk ke usus melalui makanan atau minuman yang terkontaminasi untuk kemudian berkembang biak di dalam saluran cerna. ;Istirahat cukup, makan makanan lunak dan tidak berserat, minum banyak air putih, menjaga kebersihan, minum antibiotik yang dianjurkan oleh dokter. Untuk menentukan antibiotik yang cocok sebaiknya menghubungi dokter dan melakukan uji laboratorium;Melakukan vaksinasi tifus dan memjaga kebersihan dimanapun berada;
