kembung,begah
kembung,buncit
bintik,bercak
bagaimana,gimana
maag,mag
demam tifoid,tifus
demam tifoid,tipes
demam tifoid,tipus
demam tifoid,tivus
demam berdarah dengue,dbd
perih di ulu hati,nyeri perut
perih di ulu hati,perut kiri nyeri
perih di ulu hati,perut kanan nyeri
perih di ulu hati,nyeri perut kiri
berputar,muter
hidung berair,influenza
hidung berair,influensa
kram,keram
napas,nafas
migrain,migren
kehilangan nafsu makan,tidak selera makan
demam tinggi,panas tinggi
perih di ulu hati,nyeri perut
hidung berair,pilek
hidung berair,flu
feses encer,mencret
bisul berisi air,bintik bintik air tubuh
bisul berisi air,bintik bintik air
sakit kepala sebagian kiri atau kanan,pusing kepala kiri